DATES,CAR,SGJ,1834,JMMBGL,JSE
44109,6.41,46.31,0.95,29.5,18.5
44110,6.45,49.78,0.92,29.4,18.89
44111,6.44,46.38,0.99,29.3,19.1
44112,6.44,49.97,0.91,30,18.35
44113,6.35,48.5,#N/A N/A,30,18.3
44116,6.5,48.8,0.91,29,17.95
44117,6.5,46.74,#N/A N/A,29,18.05
44118,6.5,46.41,0.92,29,17.5
44119,6.49,46.38,0.98,29,17.5
44120,6.49,48.44,#N/A N/A,29,17.5
44124,6.49,48.5,0.97,28.88,17.5
44125,6.45,46.32,0.95,29.73,17.5
44126,6.45,46.01,0.9,30,18.15
44127,6.49,48.44,0.98,30,18
44130,6.49,46,0.9,30,17.99
44131,6.47,46,0.9,29.5,17.5
44132,6.49,45.3,0.92,29.05,18
44133,6.49,46,0.9,29.52,17.51
44134,6.49,45.5,0.9,30,18.25
44137,6.45,44.5,1.02,30.12,18.25
44138,6.45,44,1.01,30.7,17.55
44139,6.49,45,0.9,31.25,18
44140,6.49,44.2,0.9,30.05,17.6
44141,6.49,45,1.03,31.9,18.45
44144,6.51,44.83,1.03,31.8,17.81
44145,6.7,44.61,1,31.62,18.48
44146,6.6,46,1,31.75,18.43
44147,6.6,47.75,1,31.55,18.2
